Number	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
150	24.575019	117.518096	213	68	28	5735	323	91	230	265	152	275	133	1527	279	28	61	666	114	512	151
151	24.155811	117.585262	213	52	25	5613	312	101	204	263	161	280	141	1295	239	24	59	588	94	457	189
152	24.151063	117.656552	204	54	26	5474	306	100	206	254	155	271	134	1331	235	25	59	584	96	471	129
153	24.161613	117.657702	204	54	26	5441	302	98	206	252	153	269	133	1352	239	25	59	594	96	479	196
154	24.4796693	118.089766	214	60	28	5680	319	102	212	266	199	281	142	1186	189	26	56	465	91	391	196
155	26.187113	118.125001	202	85	32	6389	337	63	270	232	117	280	110	1549	267	39	57	711	138	543	183
156	25.657088	118.242298	149	69	31	5419	249	22	233	175	91	215	69	1714	271	37	54	695	138	665	179
157	27.486791	118.242695	166	81	29	7027	298	23	275	199	91	249	74	1916	341	50	59	929	181	645	247
158	25.344695	118.286687	183	73	30	5940	310	75	242	220	173	251	126	1418	247	30	55	605	112	444	153
159	25.352532	118.30106	189	73	31	5759	293	73	232	214	169	247	116	1470	254	32	55	621	119	574	162
160	27.542856	118.782125	173	85	29	7197	325	31	296	203	96	259	84	1822	328	47	55	828	174	633	232
161	26.125843	119.379949	174	69	28	6188	294	55	243	248	117	249	95	1550	245	39	52	602	134	550	282
162	25.970296	119.557609	178	64	27	6132	296	60	238	252	124	254	98	1483	233	40	49	572	131	515	274
163	27.091551	119.62568	171	77	29	6955	306	33	282	198	105	257	79	1573	251	39	51	666	134	501	178
164	27.985053	119.6594	140	87	26	7375	298	22	303	230	63	261	56	1682	269	37	49	676	154	611	189
165	27.561401	119.666906	149	74	27	6826	284	-2	275	204	65	233	56	1880	309	45	49	728	179	701	212
166	27.978789	119.68727	142	82	26	7224	279	-2	282	223	63	230	56	1829	290	37	48	721	178	661	207
167	27.970367	119.68957	142	82	26	7142	277	-2	282	223	68	248	63	1829	299	37	48	721	178	678	207
168	27.559096	119.691052	140	74	29	6972	290	24	275	218	93	238	46	1793	283	40	51	687	162	653	215
169	27.827469	120.076219	168	75	26	7142	312	23	289	257	95	257	74	1726	265	43	52	653	156	653	184
170	27.625549	120.538954	184	69	25	7183	320	38	273	265	114	260	81	1576	242	44	52	611	159	571	174
171	27.623501	120.539098	184	69	25	7183	320	38	273	265	105	260	81	1576	242	44	52	624	159	571	180
172	27.625549	120.539457	184	69	25	7183	320	38	273	265	114	260	81	1576	242	44	52	611	159	571	174
173	27.649615	120.552393	177	68	25	7119	311	51	273	263	110	265	86	1628	234	44	49	618	156	603	177
174	27.648271	120.553327	177	68	25	7119	311	51	273	263	110	265	86	1628	234	44	49	618	156	603	177
175	27.655055	120.59853	166	65	24	7007	298	42	264	252	99	254	76	1691	244	44	49	627	169	607	187
176	27.652431	120.600686	176	67	24	7086	303	52	269	256	110	260	80	1656	240	47	51	623	164	596	183
177	28.097797	120.85452	171	69	24	7375	316	34	277	269	111	271	86	1683	239	47	49	633	178	621	192
178	28.096777	120.859551	171	69	24	7375	316	34	277	269	111	271	86	1683	239	47	49	633	178	621	192
179	28.108758	120.872055	176	67	23	7312	313	38	276	272	113	268	82	1689	230	45	49	632	178	621	187
180	28.107483	120.880679	181	67	24	7354	318	42	276	271	111	273	86	1658	232	45	48	618	169	606	184
181	28.113856	120.884128	166	67	23	7260	301	29	274	255	96	257	72	1732	243	46	48	648	180	637	192
182	28.121374	120.887434	167	65	23	7268	302	30	271	255	97	258	73	1723	243	48	48	648	182	635	194
183	28.115767	120.898645	159	65	23	7216	293	22	271	248	90	249	66	1762	246	49	48	657	187	647	197
184	29.144468	120.947728	162	74	24	8016	328	14	309	242	93	268	68	1483	225	44	47	558	158	550	178
185	29.146234	120.95204	173	74	24	8016	328	20	306	242	93	273	68	1493	225	44	47	558	158	550	178
186	27.835226	121.125602	177	58	22	7055	307	47	260	197	112	266	87	1563	217	49	44	560	187	531	196
187	28.094456	121.20459	167	60	22	7141	297	36	261	254	101	257	76	1648	224	52	44	576	194	569	198
188	28.692348	121.22976	162	69	24	7556	312	28	286	257	97	256	72	1663	229	48	46	613	179	598	183
189	28.696024	121.23824	165	69	24	7553	312	28	286	259	97	256	72	1608	229	48	46	590	179	573	183
190	28.697544	121.238671	165	69	24	7553	312	28	286	259	97	256	72	1608	229	48	46	590	179	573	183
191	28.696024	121.241259	165	69	24	7553	312	28	286	259	97	256	72	1608	229	48	46	590	179	573	183
192	28.699192	121.266555	165	69	23	7644	312	22	286	259	97	256	72	1602	234	48	46	609	180	594	186
193	28.710471	121.271729	169	66	23	7596	310	27	282	263	96	264	71	1615	230	48	47	593	176	576	183
194	28.710091	121.272591	169	66	23	7596	310	27	282	263	96	264	71	1615	230	48	47	593	176	576	183
195	28.698685	121.304499	169	67	23	7603	317	29	282	262	98	263	72	1572	229	50	46	579	181	563	185
196	28.705655	121.306368	176	67	23	7602	317	34	283	270	101	268	79	1570	225	46	45	573	171	554	179
197	28.697291	121.312692	169	67	23	7603	317	29	282	262	98	263	72	1572	229	50	46	576	181	563	185
198	29.927394	122.355831	168	58	21	7530	305	NA	NA	188	99	NA	72	1246	168	50	NA	417	175	394	184
199	29.923512	122.356119	168	58	21	7526	NA	NA	NA	188	99	NA	72	1248	168	50	NA	417	175	395	184
200	25.65	114.26964	187	83	28	7382	331	38	294	226	107	277	89	1562	249	45	56	702	142	547	199
201	26.40136	117.63089	172	88	31	6436	316	48	278	205	102	266	93	1750	307	41	60	812	152	589	207
202	24.615	116.79472	206	81	32	5654	322	76	245	234	145	272	129	1611	279	31	59	735	121	620	171
203	25.08878	116.74297	201	82	33	5767	323	34	262	193	130	271	88	1704	312	37	59	832	138	617	194
204	25.92036	113.17767	188	82	26	8018	346	31	314	230	101	285	79	1458	209	52	44	607	189	433	220
205	25.4509	114.102278	176	82	29	7229	318	28	283	211	98	259	80	1601	269	46	56	723	144	562	197
206	26.80319	120.02025	180	69	27	6631	304	54	253	198	116	263	95	1586	255	46	52	607	151	519	279
207	25.28208	116.94017	171	87	32	5555	289	47	259	204	117	248	93	1831	297	38	58	835	143	663	197
208	24.625092	116.823734	203	81	32	5600	309	76	244	233	144	274	132	1640	284	32	59	732	123	635	174
209	26.65633	119.69428	184	73	28	6689	321	56	259	242	128	265	104	1600	279	44	51	633	144	532	284
210	26.13789	116.87872	176	92	33	6676	324	45	283	230	103	269	102	1707	311	43	61	818	158	551	217
211	24.728327	118.156261	216	65	29	5765	325	102	222	236	196	286	142	1206	195	27	56	505	96	393	138
212	24.84	117.91	178	71	32	5458	297	73	230	238	131	254	114	1526	262	30	60	659	113	512	153
213	25.154506	116.239242	179	88	32	6069	303	39	264	217	112	250	97	1747	300	38	59	813	140	620	200
214	26.184136	116.818991	177	91	33	6783	318	28	294	213	99	258	87	1712	314	45	58	841	164	582	218
215	24.83222	116.63278	209	88	33	5791	331	72	259	239	142	278	128	1611	275	34	58	730	128	590	180
216	29.32636646	121.6590786	164	NA	NA	7770	302	21	NA	229	86	262	64	1488	212	52	NA	536	181	515	189
217	24.865028	116.623653	211	88	33	5855	330	74	260	240	146	280	130	1617	274	35	58	723	128	588	180
218	27.43242278	120.4654312	170	66	24	6899	316	35	263	253	119	273	81	1631	238	45	48	588	159	550	178
219	25.672262	113.079524	153	73	27	7641	294	6	291	193	74	243	55	1491	253	53	45	643	181	465	207
220	26.80961	119.72603	185	76	27	6724	318	51	264	209	120	269	97	1641	277	43	54	643	145	544	191
221	28.76675625	121.279707	153	65	23	7621	293	11	288	246	80	247	55	1584	239	51	46	594	190	595	194
